2015,2016,2017,2018,2019
3.932966872,-10.3022036,8.482478386,11.39274715,-9.391384277
4.237170178,-10.97279766,6.325932522,12.32843414,-7.768144402
6.74506213,-10.94457704,2.471091467,14.8188589,-8.885709736
8.205935669,-8.178371555,-0.959457042,15.63346248,-10.99491425
8.461226975,-7.694046975,-1.191829644,15.12993455,-11.18020315
6.527673221,-6.568034343,-0.462580631,12.7452027,-9.194617211
3.899508054,-2.485601357,-1.749021481,11.13516056,-8.559527835
2.40123094,-0.800991132,-2.742201135,12.95951581,-9.440722136
4.102319882,0.76475879,-4.906347728,11.73469905,-9.987012538
2.694385779,1.334579791,-7.609823171,16.73595223,-10.72412856
0.285554207,2.353497712,-6.390717881,16.58320112,-10.35324416
-2.131888728,3.58839123,-6.34113713,19.62509391,-11.70526852
-2.86343695,3.312465983,-5.042327816,18.72035645,-11.09895167
-3.357267071,4.052508247,-5.063432958,17.49790294,-10.41512545
-2.649655776,3.590553977,-3.570290247,14.25779128,-9.392924162
1.59761624,5.531766942,-5.72639277,10.48594254,-10.94132167
6.131082028,0.902836789,-9.483992986,14.23807179,-10.0939278
7.531930161,-1.560895229,-9.856266988,15.27246734,-9.303103932
8.388256617,-2.699013448,-9.841251502,15.48790891,-9.111513597
8.005001084,-2.982343629,-10.03463614,16.04680925,-8.677453596
6.800501181,0.017482109,-9.646617878,14.35720505,-9.75268316
4.263824146,5.941895333,-10.03296403,13.23941267,-12.44535248
4.319272219,7.427869683,-11.01772912,12.69715579,-12.82196119
4.359069078,6.46908094,-10.01074144,11.5311642,-11.78267976
4.591219816,4.92287881,-9.552139485,11.73842441,-10.89384093
5.66042437,2.687229594,-10.25426548,13.12396945,-9.997358425
9.954206204,-4.910282506,-10.22110342,17.18432613,-9.28928925
10.22899337,-4.401232428,-10.66506032,18.33351763,-10.64876723
10.37759493,-4.555125717,-10.30067157,18.68677826,-11.2411215
8.783410231,-3.162500213,-9.526579359,18.14269518,-11.4051621
4.540856711,5.576059247,-9.567598979,11.66060661,-11.48651368
3.323408527,5.524136921,-9.4556062,13.88776817,-12.05690808
3.160906662,5.129632663,-11.11163476,15.7068077,-11.41427522
5.960500757,5.638685407,-11.8376371,15.26641269,-13.84194383
3.944275719,10.06223145,-12.02952437,11.90521916,-13.80012208
4.738443237,11.97362709,-12.16763262,10.94592756,-15.8332511
2.184207345,18.56101065,-11.94258867,8.428410614,-18.67367212
2.85905605,20.98843289,-13.07146453,6.333475135,-19.35620292
4.863497198,15.41272652,-12.48075218,7.965350546,-17.09602721
11.51015103,16.53476476,-17.66033978,5.166976253,-18.25556891
8.640514471,31.67967429,-25.62219517,6.670014125,-26.04304633
8.301147693,31.48543101,-27.47534362,11.48373433,-27.64953189
11.57929182,15.38537244,-21.07437492,17.43857792,-23.76729442
8.877193346,23.59463997,-23.66710623,14.86701117,-25.66455318
7.993825029,23.84130871,-22.89040945,13.75256603,-24.84157916
8.260900436,21.64549478,-23.71690204,13.66684012,-21.88167166
10.89817743,22.55068107,-24.47339238,11.77879553,-23.39829526
6.913902292,24.73250469,-23.01991916,12.16048626,-23.33114873
5.041337687,23.79831309,-19.54994574,11.75920613,-23.1848996
7.633459047,16.86425235,-20.05915165,15.18068285,-20.46577707
12.8371349,3.409916842,-14.85538885,20.45600335,-19.85612679
14.7273169,2.748677088,-18.86335382,21.48848027,-18.27991751
15.4942963,1.425686869,-17.71435455,21.08145744,-18.31761168
12.11675381,2.878707785,-16.14913291,18.77570387,-16.02739611
7.880908435,5.500809207,-13.90673989,18.71050552,-16.54181824
6.352955481,7.186326024,-13.85019744,17.25910055,-15.72747729
11.16465706,4.727848876,-17.76370305,14.98192745,-12.61232389
-3.120671135,-9.035262119,-14.29762511,45.11205352,-9.923894954
-2.253145341,-4.446841056,-2.011431649,19.85636738,-6.802868048
12.70406995,11.65815096,-18.87078628,10.52254404,-17.28171333
22.46275561,7.194457359,-20.66418542,6.449687439,-17.50597644
22.9383178,7.680935367,-21.33988742,6.077800889,-17.62532465
25.93512156,-0.036964252,-18.76665448,7.753282304,-15.84027943
25.81661966,-4.317258367,-16.49116587,11.5659533,-16.08668078
36.50061634,-9.099886485,-24.14886535,13.31944378,-16.27272411
36.0447034,-8.616207038,-25.92632633,13.63092725,-14.9865377
28.08895377,-6.953274561,-24.40167736,16.51537419,-12.33350041
23.57726285,-5.565253462,-22.56348971,17.44948782,-11.63686555
22.42544546,-6.529933903,-17.79851127,16.45198595,-12.88679293
18.90381745,-3.461240336,-16.65994588,16.13349073,-13.43040313
31.42731382,-6.897158331,-20.12428427,12.6823858,-16.61458015
24.8820709,-7.330755501,-17.87515346,16.05613589,-14.13847198
20.46658043,-7.251669902,-17.59070339,17.90839409,-11.43012089
16.17445841,-4.428276777,-22.85752364,21.5286814,-8.285860248
15.86180382,-2.320460632,-25.70277734,20.88520264,-7.214956385
16.07849955,-1.944536234,-27.07482703,21.2669054,-6.92069125
14.39211989,-3.318947599,-20.46275837,20.86674223,-9.309738998
13.76819308,-2.961181639,-18.65810569,21.85293506,-11.475301
10.04386567,-0.612474181,-16.53499369,21.73305761,-12.06183851
9.707743568,2.089144603,-15.52524208,18.55692905,-13.07357901
9.63196838,1.958303344,-15.057627,19.88968227,-14.33496802
6.539556603,3.738056876,-5.714755417,11.47118449,-14.82723637
1.088101678,5.867783742,-3.160776452,12.36969612,-14.60081531
17.24598415,7.272239019,-21.17235755,12.77001055,-16.82245631
21.32148936,6.691766943,-21.4140099,8.173501547,-16.48028204
13.77973289,9.50332248,-20.0235926,10.34651735,-14.83044797
5.887664039,6.399254003,-17.86654381,15.4750137,-9.344242325
4.579506836,-1.081704523,-18.23704211,17.90105687,-1.353661235
8.321180263,-5.518299787,-22.61449326,20.05357772,1.926792067
10.23129674,-4.155806313,-26.120762,20.9850686,0.879772319
10.96039456,-3.88924693,-24.62676121,21.23548018,-1.706560656
10.8421355,-3.991119468,-20.34687263,20.28553304,-4.569012057
9.870810867,-2.328047035,-19.50651438,19.88343775,-5.842871553
9.044189092,1.358016519,-20.55611197,17.71009796,-6.382422723
9.712856506,0.188082442,-21.40966745,18.44934119,-5.598841611
9.203000025,-4.461887888,-19.29971386,19.50272621,-2.687724107
9.374822218,-5.831896005,-18.88453379,20.19388936,-2.277946587
9.14732083,-5.119477357,-18.22243109,21.14041599,-4.180842173
12.21987574,-6.908406528,-20.05748333,21.0227453,-3.613169775
10.98324234,-4.64259675,-24.53132681,24.55184139,-3.628742697
9.616203544,-4.986826058,-21.24214274,23.14127723,-3.684179467
9.854625663,-6.053262535,-21.31060375,24.57645346,-3.835090939
4.60450945,-1.356135605,-21.60136138,25.55171439,-4.146239146
3.230313029,1.824862379,-18.82587457,23.06625976,-6.762328494
4.359855582,2.489156493,-18.75368901,20.28247859,-6.499179975
14.7081617,10.03733824,-16.92985106,7.862750224,-17.1769269
7.954788275,0.734658108,-13.28931667,19.09799597,-12.22665134
4.918718692,4.862637649,-19.75983748,16.85468652,-6.051324728
4.430016295,4.059652718,-19.48906342,16.98703414,-5.013975658
3.446100266,3.466719774,-19.98396121,16.38261848,-2.423759099
0.832412966,0.513774264,-22.46092467,18.80792287,3.809657434
0.658275934,-14.57259745,-21.9532583,20.39050995,18.90557391
1.532481374,-13.04312992,-23.58435794,26.10556188,13.23540755
